user_id,n_tweets,n_replies,n_quotes,n_retweets,max_followers,n_mentions,n_hashtags,n_urls,n_out_urls,f_tweets,f_friends,atypique,commentaire
825411950750347265,2,0,0,2,5,2,1,1,1,0.0729322580471326,0.1093983870706989,0,
1155098822,1,0,0,1,528,1,0,0,0,0.0115233882080067,0.0,0,
1899069884,1,0,0,1,176,1,1,0,0,0.0115233882080067,0.0,0,
873361760,1,0,1,1,5,1,0,1,0,0.0115233882080067,0.0,0,
972716510207795200,3,0,0,3,20,5,5,0,0,164.93333944197553,0.0,1,f tweets
796227222,1,0,1,1,126,1,0,1,0,0.0115233882080067,0.0,0,
981540011639263232,8,0,1,0,29,0,21,2,0,0.1426601776958331,0.0,0,
421882047,1,0,0,1,1596,1,1,0,0,0.0115233882080067,0.0,0,
882658824934608896,1,0,1,0,11614,0,0,1,0,0.0115233882080067,0.0,1,Followers
362559284,1,0,1,0,315,0,0,1,0,0.0115233882080067,0.0,0,
532628250,4,0,0,4,886,4,6,0,0,3.2255369343018607,0.0,0,
452968854,1,0,0,0,75,0,2,0,0,0.0115233882080067,0.0,0,
119477651,2,0,0,0,458,0,11,0,0,0.0767203025405459,0.0,0,
505027003,1,0,0,1,60,1,1,0,0,0.0115233882080067,0.0,0,
2849091404,1,0,0,1,464,1,1,0,0,0.0115233882080067,0.0,0,
996992766243586051,7,0,0,7,29,7,29,0,0,0.1952411957435467,0.0,0,
43644225,1,0,0,1,1825,1,1,0,0,0.0115233882080067,0.0,0,
2290336920,1,0,0,1,349,2,1,0,0,0.0115233882080067,0.0,0,
742999091030986752,1,1,0,0,208,0,1,0,0,0.0115233882080067,0.0,0,
722106412961292289,2,0,0,1,801,1,2,0,0,12.350253180190194,0.0,1,f tweets
301954928,4,0,0,0,652,0,7,4,4,0.0555562909476629,0.0277781454738314,0,
3122954800,3,0,0,3,292,4,6,0,0,0.1348116243470093,0.3594976649253582,0,
2516558808,1,0,1,0,947,0,0,1,0,0.0115233882080067,0.0,0,
735758610102247424,1,0,0,1,192,1,3,0,0,0.0115233882080067,0.0,0,
1673861550,2,0,0,2,46,2,3,0,0,0.0502042133077172,0.0,0,
28405946,1,0,0,0,4015,0,1,1,0,0.0115233882080067,0.0,0,
1523164609,3,0,1,0,431,0,2,2,0,0.0936460098454038,0.0312153366151346,0,
977563540218437632,1,0,1,1,1,3,2,0,0,0.0115233882080067,0.0,0,
107973672,1,0,1,0,227,0,0,1,0,0.0115233882080067,0.0,0,
4773565166,20,0,8,12,62,19,29,9,1,0.2515248001059925,0.0125762400052996,1,Hashtags
3646905197,2,0,0,2,230,3,1,0,0,0.1223001104064246,0.0,0,
255754817,2,0,1,1,419,1,2,1,0,65.17724589926495,0.0,1,f tweets
1003547760082259969,2,0,0,2,1,2,0,0,0,35.4166871624347,0.0,1,f tweets
926590133276692480,1,0,0,1,2,1,1,0,0,0.0115233882080067,0.0,0,
914144934306942977,7,0,0,7,1760,9,7,0,0,0.1181463584617619,0.0675122048352925,0,
925459478354554885,2,0,0,2,856,2,1,0,0,0.0320386076613824,0.0800965191534561,0,
991029581263106049,1,0,0,1,355,1,0,0,0,0.0115233882080067,0.0,0,
238738361,1,0,1,1,1085,1,1,0,0,0.0115233882080067,0.0,0,
133318219,1,0,0,1,411,1,2,0,0,0.0115233882080067,0.0,0,
767788966904995840,2,2,0,0,909,4,4,0,0,8.163802154790224,0.0,0,
850850184,7,0,2,5,128,5,13,2,0,0.1048181640694264,0.0449220703154684,0,
3159857628,2,0,1,2,1865,2,1,1,0,0.0413870970654978,0.0620806455982468,0,
257330566,2,0,0,2,693,2,4,0,0,0.0368647833029156,0.0737295666058312,0,
599489689,3,0,0,3,281,3,3,0,0,0.0604328421743615,0.0,0,
